area,building,direction,elevator,floor,garden,heating,_id,layout,region,renovation,stairway,structure,totalPrice,type,unitPrice,usage,year
99.0,板塔结合,南 北,有,高楼层 (共33层),雁鸣湖,集中供暖,101117681628,3室2厅1厨1卫,灞桥,其他,两梯四户,钢混结构,160.0,,16162.0,普通住宅,
50.95,板塔结合,南,有,高楼层 (共15层),世博园,集中供暖,101117681649,2室1厅1厨1卫,灞桥,其他,四梯十八户,钢混结构,120.0,复式,23553.0,普通住宅,满两年
83.09,板塔结合,南 北,,高楼层 (共6层),洪庆,集中供暖,101117681660,2室2厅1厨1卫,灞桥,其他,一梯两户,混合结构,85.0,,10230.0,普通住宅,
143.0,板塔结合,南 北,有,高楼层 (共17层),国际港务区,集中供暖,101117681717,3室2厅1厨2卫,灞桥,其他,两梯两户,钢混结构,335.0,,23427.0,普通住宅,满两年
36.32,塔楼,北,有,中楼层 (共33层),锦业路,集中供暖,101117681734,1室0厅1厨1卫,雁塔,精装,三梯十四户,钢混结构,53.0,,14593.0,商住两用,满五年
85.73,塔楼,东北,有,高楼层 (共32层),城北,集中供暖,101117681743,2室1厅1厨1卫,未央,其他,三梯十二户,钢混结构,128.0,平层,14931.0,普通住宅,满五年
25.0,,北,,地下室 (共32层),城北,,101117681759,,未央,,,,13.8,,5520.0,车库,
33.0,板塔结合,北,有,低楼层 (共30层),高新六路,集中供暖,101117681784,1室0厅1厨1卫,雁塔,其他,两梯九户,钢混结构,98.0,,29697.0,普通住宅,满两年
95.42,板楼,南,有,低楼层 (共31层),长安,集中供暖,101117681807,3室2厅1厨1卫,长安,精装,两梯四户,钢混结构,150.0,,15720.0,普通住宅,满两年
47.12,板塔结合,南 北,有,低楼层 (共15层),高陵,集中供暖,101117681898,2室1厅1厨2卫,高陵,其他,一梯十四户,钢混结构,55.0,复式,11673.0,普通住宅,
96.54,板楼,南,有,低楼层 (共34层),经开北,集中供暖,101117680543,3室1厅1厨2卫,未央,其他,两梯四户,钢混结构,185.0,平层,19164.0,普通住宅,未满两年
113.0,板楼,南 北,,中楼层 (共17层),临潼,集中供暖,101117680569,3室2厅1厨2卫,临潼,其他,一梯四户,钢混结构,98.0,,8673.0,普通住宅,
107.0,板塔结合,南,有,高楼层 (共26层),矿山路,集中供暖,101117680587,3室2厅1厨1卫,灞桥,其他,两梯四户,钢混结构,155.0,,14486.0,普通住宅,
120.0,板塔结合,南 北,有,高楼层 (共34层),曲江,集中供暖,101117680600,3室2厅1厨2卫,雁塔,其他,两梯四户,钢混结构,315.0,,26250.0,普通住宅,
51.17,塔楼,北,有,高楼层 (共32层),城西,集中供暖,101117680618,1室1厅1厨1卫,莲湖,其他,三梯十五户,钢混结构,85.0,,16612.0,普通住宅,
229.91,板楼,南 北,有,低楼层 (共17层),城东,集中供暖,101117680620,4室2厅1厨3卫,新城区,其他,两梯两户,钢混结构,586.0,平层,25489.0,普通住宅,
65.33,塔楼,东北,无,低楼层 (共7层),城东,集中供暖,101117680622,2室1厅1厨1卫,雁塔,其他,一梯六户,钢混结构,88.0,,13471.0,普通住宅,满五年
89.0,板塔结合,南,有,低楼层 (共33层),浐河西路,集中供暖,101117680669,2室1厅1厨1卫,未央,其他,两梯五户,钢混结构,122.0,,13708.0,普通住宅,
183.88,板楼,南 北,有,高楼层 (共11层),逸翠园,集中供暖,101117680692,4室2厅2厨3卫,雁塔,精装,两梯三户,钢混结构,640.0,复式,34806.0,普通住宅,
94.75,板楼,南 北,有,低楼层 (共6层),曲江,自供暖,101117680712,3室2厅1厨1卫,雁塔,其他,十梯一户,混合结构,98.0,,10344.0,普通住宅,
114.0,板塔结合,南 北,有,高楼层 (共34层),城西,集中供暖,101117680820,3室1厅1厨2卫,雁塔,其他,两梯五户,钢混结构,245.0,平层,21492.0,普通住宅,
98.97,塔楼,东 南 北,有,高楼层 (共30层),城南,集中供暖,101117680902,2室2厅1厨1卫,雁塔,其他,三梯十户,框架结构,113.0,,11418.0,普通住宅,满五年
